assembly_name	*organism
Os-Nipponbare-Reference-IRGSP-1.0	Oryza sativa
Si-Yugu1-Reference-JGI-2.0	Setaria italica
At-Col-0-Rerefence-TAIR-10.1	Arabidopsis thaliana
Ms-DH1-Reference-JGI-7.0	Miscanthus sinensis
Ss-AP85-441-Reference-1.0	Saccharum spontaneum
Sb-BTx623-Reference-3.0	Sorghum bicolor
Zx-PI566673-REFERENCE-YAN-1.0	Zea mays ssp. mexicana
Zv-TIL11-Draft-Panzea-1.0	Zea mays ssp. parviglumis
Vc-A1077-Draft-McKain-3.0	Vossia cuspidata
Zd-Lulu-Draft-Panzea-0.5	Zea diploperennis
Cn-A1012-Draft-PanAnd-0.1	Chrysopogon nigritanus
Cs-A1013-Draft-PanAnd-0.1	Chrysopogon serrulatus
Hd-A1025-Draft-PanAnd-0.1	Hyparrhenia diplandra
Me-A1031-Draft-PanAnd-0.1	Miscanthus ecklonii
Mj-A1033-Draft-PanAnd-0.1	Miscanthus junceus
Cs-A1013-Draft-PanAnd-0.2	Chrysopogon serrulatus
Et-A1021-Draft-PanAnd-0.1	Elionorus tripsacoides
Me-A1031-Draft-PanAnd-0.2	Miscanthus ecklonii
Mj-A1033-Draft-PanAnd-0.2	Miscanthus junceus
Ud-A1076-Draft-PanAnd-0.1	Urelytrum digitatum
Pp-Kellogg1297-CleanReads-0.1	Poa pratensis ssp. angustifolia
Pp-Kellogg1297-Draft-PanAnd-0.3	Poa pratensis ssp. angustifolia
Pp-Kellogg1297-Draft-PanAnd-1.0	Poa pratensis ssp. angustifolia
Pp-Kellogg1297-Draft-PanAnd-1.1	Poa pratensis ssp. angustifolia
Pp-Kellogg1297-CleanReads-0.2	Poa pratensis ssp. angustifolia
Pp-Kellogg1297-CleanReads-0.1	Poa pratensis ssp. angustifolia
Hd-A1025-Draft-PanAnd-1.0	Hyparrhenia diplandra
Cs-A1013-Draft-PanAnd-1.0	Chrysopogon serrulatus
Cn-A1012-Draft-PanAnd-1.0	Chrysopogon nigritanus
Cs-A1013-Draft-PanAnd-2.0	Chrysopogon serrulatus
Cs-A1013-Draft-PanAnd-1.1	Chrysopogon serrulatus
Cs-A1013-Draft-PanAnd-0.2	Chrysopogon serrulatus
Cr-AUB069-Draft-PanAnd-0.2	Cymbopogon refractus
Cr-AUB069-Draft-PanAnd-2.0	Cymbopogon refractus
